#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 52400.000000 1.022546 1.191589 -0.012474
 52500.000000 1.106091 1.301949 0.189599
 52600.000000 1.102413 1.225600 0.264181
 52700.000000 1.118016 1.202127 0.156749
 52800.000000 1.086372 1.429564 0.214680
 52900.000000 1.091941 1.127450 0.007789
 53000.000000 1.193252 1.347954 0.080116
 53100.000000 1.096760 1.321811 0.124902
 53200.000000 1.069534 1.322734 0.131274
 53300.000000 1.051445 1.434846 0.119958
 53400.000000 1.336106 1.539998 0.388853
 53500.000000 1.160047 1.434987 0.191512
 53600.000000 1.091329 1.460923 0.118328
 53700.000000 1.210429 1.590332 0.050798
 53800.000000 1.168200 1.523167 0.126193
 53900.000000 1.106358 1.542774 0.038126
 54000.000000 1.286597 1.581136 0.169207
 54100.000000 1.125773 1.387657 0.164722
 54200.000000 1.099531 1.428878 0.075189
 54300.000000 1.106231 1.436918 0.163504
 54400.000000 1.165533 1.518241 0.275544
 54500.000000 1.218965 1.576515 0.148807
 54600.000000 1.080500 1.533733 0.107187
 54700.000000 1.213904 1.426611 0.153371
 54800.000000 1.244233 1.462910 0.202888
 54900.000000 1.121264 1.381413 0.170076
 55000.000000 1.035112 1.208663 -0.060853
 55100.000000 1.205597 1.545584 0.175198
 55200.000000 1.147968 1.483795 0.146926
 55300.000000 1.148900 1.468181 0.054627
 55400.000000 1.043259 1.489740 0.055482
 55500.000000 1.107805 1.413888 -0.035181
 55600.000000 1.147044 1.413524 -0.007813
 55700.000000 1.248879 1.378356 0.186501
 55800.000000 1.221840 1.477266 0.178561
 55900.000000 1.154919 1.434959 0.146113
 56000.000000 1.459399 1.499354 0.076070
 56100.000000 1.268045 1.483583 0.064769
 56200.000000 1.350315 1.399498 0.146946
 56300.000000 1.255137 1.550938 0.136858
 56400.000000 1.077739 1.557291 0.228032
 56500.000000 1.260217 1.453684 0.101271
 56600.000000 1.282988 1.298614 0.194651
 56700.000000 1.122674 1.343282 0.158650
 56800.000000 1.303326 1.653508 0.269641
 56900.000000 1.306686 1.518858 0.300670
 57000.000000 1.260638 1.391213 0.264393
 57100.000000 1.266978 1.655452 0.141728
 57200.000000 1.211492 1.551822 0.115460
 57300.000000 1.237270 1.304265 0.125586
 57400.000000 1.061700 1.449183 0.251111
 57500.000000 1.189865 1.488648 0.061909
 57600.000000 1.261905 1.352396 0.263808
 57700.000000 1.311928 1.509785 0.192743
 57800.000000 1.292683 1.414656 0.193848
 57900.000000 1.274816 1.424389 0.133580
 58000.000000 1.254724 1.326271 0.219486
 58100.000000 1.290284 1.503803 0.068588
 58200.000000 1.191656 1.340488 0.356757
 58300.000000 1.202810 1.280870 0.220222
 58400.000000 1.265613 1.384060 0.081579
 58500.000000 1.232761 1.514721 0.054054
 58600.000000 1.152034 1.471632 0.160530
 58700.000000 1.081522 1.413686 0.107741
 58800.000000 1.050656 1.408912 0.022789
 58900.000000 1.052344 1.320345 0.001982
 59000.000000 1.068676 1.170124 0.113959
 59100.000000 1.139955 1.647350 0.121602
 59200.000000 1.111769 1.589967 -0.019861
 59300.000000 1.075472 1.509648 0.163202
 59400.000000 1.157925 1.372197 -0.056763
 59500.000000 1.392638 1.375355 0.209071
 59600.000000 1.213308 1.136292 0.178659
 59700.000000 1.251525 1.404207 0.402799
 59800.000000 1.442451 1.528842 0.190517
 59900.000000 1.431266 1.391692 0.299490
 60000.000000 1.236689 1.660026 0.426615
 60100.000000 1.301987 1.461225 0.276205
 60200.000000 1.361608 1.440707 0.173573
 60300.000000 1.413696 1.398498 0.211748
 60400.000000 1.271265 1.213593 0.094157
 60500.000000 1.390304 1.302449 0.273819
 60600.000000 1.297997 1.386595 0.326289
 60700.000000 1.419847 1.426737 0.163717
 60800.000000 1.402985 1.375994 0.214894
 60900.000000 1.345354 1.456368 0.123017
 61000.000000 1.379965 1.546445 0.229068
 61100.000000 1.253979 1.606040 0.114377
 61200.000000 1.330037 1.502629 0.165158
 61300.000000 1.501222 1.509802 0.072847
 61400.000000 1.367644 1.545506 0.226129
 61500.000000 1.441219 1.422880 0.089232
 61600.000000 1.362473 1.332375 0.011120
 61700.000000 1.390178 1.595639 0.177747
 61800.000000 1.421850 1.531398 0.223185
 61900.000000 1.358216 1.517983 0.161048
 62000.000000 1.458457 1.451416 0.137798
