#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 36600.000000 1.050349 -1.596811 -2.622583
 36700.000000 1.050151 -1.561529 -2.577121
 36800.000000 1.008044 -1.387742 -2.523403
 36900.000000 1.034044 -1.590841 -2.651672
 37000.000000 0.978917 -1.494878 -2.580195
 37100.000000 0.975551 -1.460631 -2.628779
 37200.000000 1.071153 -1.545909 -2.617346
 37300.000000 1.030962 -1.505202 -2.630250
 37400.000000 1.075467 -1.502844 -2.809869
 37500.000000 0.975639 -1.412063 -2.890725
 37600.000000 0.936944 -1.434962 -2.843983
 37700.000000 1.067180 -1.496811 -2.822793
 37800.000000 0.945980 -1.325801 -2.740088
 37900.000000 0.929644 -1.584134 -2.764854
 38000.000000 0.870086 -1.361140 -2.870533
 38100.000000 1.007082 -1.523074 -2.927962
 38200.000000 0.972619 -1.474073 -2.725343
 38300.000000 0.906426 -1.479153 -2.874682
 38400.000000 0.947224 -1.620442 -2.752788
 38500.000000 0.925593 -1.481838 -2.892744
 38600.000000 0.865658 -1.323243 -2.635606
 38700.000000 0.788921 -1.586947 -2.916978
 38800.000000 0.913883 -1.544692 -2.652709
 38900.000000 0.848770 -1.551702 -2.907065
 39000.000000 0.820546 -1.468458 -2.723378
 39100.000000 0.837392 -1.513227 -2.748496
 39200.000000 0.821681 -1.554000 -2.843054
 39300.000000 0.833244 -1.564913 -2.714265
 39400.000000 0.852927 -1.479707 -2.897682
 39500.000000 0.881485 -1.446942 -3.007658
 39600.000000 0.842134 -1.480809 -3.029177
 39700.000000 0.815468 -1.529296 -3.077876
 39800.000000 0.790635 -1.406696 -3.054817
 39900.000000 0.932858 -1.362813 -2.944949
 40000.000000 0.875530 -1.470156 -3.058059
 40100.000000 0.891459 -1.284179 -2.955950
 40200.000000 1.064325 -1.537217 3.100316
 40300.000000 0.886338 -1.398054 -2.867385
 40400.000000 1.012722 -1.239742 -2.936008
 40500.000000 1.103508 -1.400267 -2.632847
 40600.000000 1.018911 -1.320952 -2.628075
 40700.000000 0.929824 -1.442437 -2.831485
 40800.000000 0.944192 -1.480479 -2.767777
 40900.000000 1.027071 -1.396453 -2.801356
 41000.000000 1.300388 -1.404115 -2.668715
 41100.000000 1.177466 -1.490924 -2.886903
 41200.000000 1.451743 -1.446620 -2.584716
 41300.000000 1.302640 -1.278425 -2.670231
 41400.000000 1.056419 -1.344852 -2.801562
 41500.000000 1.103856 -1.261483 -2.846075
 41600.000000 1.052913 -1.394899 -2.944637
 41700.000000 0.970979 -1.464267 -2.834138
 41800.000000 0.969774 -1.368353 -2.728018
 41900.000000 1.077592 -1.303495 -2.769093
 42000.000000 1.021598 -1.342416 -2.607428
 42100.000000 1.027975 -1.304198 -2.601725
 42200.000000 1.179338 -1.432357 -2.564785
 42300.000000 1.040851 -1.531925 -2.631221
 42400.000000 1.005212 -1.629096 -2.562463
 42500.000000 1.081278 -1.582027 -2.444576
 42600.000000 0.993785 -1.524288 -2.684875
 42700.000000 1.041612 -1.356235 -2.605421
 42800.000000 1.077660 -1.315693 -2.886553
 42900.000000 0.913031 -1.300809 -2.690115
 43000.000000 1.070260 -1.305928 -2.507000
 43100.000000 1.072309 -1.205818 -2.513979
 43200.000000 0.950203 -1.501965 -2.875279
 43300.000000 0.968332 -1.433259 -2.854977
 43400.000000 1.093749 -1.301439 -2.830585
 43500.000000 0.944282 -1.480126 -2.896547
 43600.000000 1.004871 -1.595695 -2.775351
 43700.000000 1.093770 -1.481130 -2.649800
 43800.000000 0.989129 -1.508608 -2.741310
 43900.000000 0.932648 -1.448910 -2.844911
 44000.000000 0.958473 -1.511542 -2.788550
 44100.000000 0.933198 -1.450520 -2.716100
 44200.000000 0.875129 -1.606539 -2.764876
 44300.000000 1.024430 -1.472635 -2.684982
 44400.000000 0.955950 -1.545207 -2.802662
 44500.000000 0.902453 -1.537993 -2.795225
 44600.000000 1.017887 -1.322301 -2.794003
 44700.000000 1.039116 -1.442232 -2.789067
 44800.000000 0.948013 -1.512348 -2.832492
 44900.000000 0.944747 -1.447510 -2.765763
 45000.000000 0.892017 -1.524196 -2.895167
 45100.000000 0.823654 -1.384146 -2.955768
 45200.000000 0.907470 -1.375957 -3.007489
 45300.000000 0.943786 -1.522102 -2.735533
 45400.000000 1.095889 -1.351354 -2.581002
 45500.000000 1.005954 -1.416198 -2.732396
 45600.000000 0.983601 -1.576883 -2.794165
 45700.000000 0.954097 -1.523265 -2.695740
 45800.000000 0.950499 -1.333242 -2.878513
 45900.000000 0.943087 -1.520942 -3.013902
 46000.000000 1.004854 -1.488376 -2.831857
 46100.000000 0.982950 -1.552517 -2.913386
 46200.000000 0.982243 -1.347376 -2.764626
 46300.000000 1.019295 -1.488898 -2.853208
 46400.000000 0.932983 -1.385314 -2.641189
 46500.000000 1.019905 -1.433822 -2.752407
 46600.000000 1.016210 -1.423221 -2.564561
 46700.000000 0.921523 -1.415005 -2.664777
 46800.000000 0.950808 -1.495506 -2.642893
 46900.000000 0.981904 -1.317797 -2.477387
