#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 25700.000000 1.358490 -1.573342 -2.417694
 25800.000000 1.302075 -1.611764 -2.472504
 25900.000000 1.259136 -1.621856 -2.395712
 26000.000000 1.331843 -1.371330 -2.472849
 26100.000000 1.309601 -1.567053 -2.521623
 26200.000000 1.238643 -1.533162 -2.434398
 26300.000000 1.388172 -1.420853 -2.453103
 26400.000000 1.267346 -1.469263 -2.505496
 26500.000000 1.274452 -1.462305 -2.674983
 26600.000000 1.279678 -1.512391 -2.656563
 26700.000000 1.230266 -1.649401 -2.609100
 26800.000000 1.291536 -1.586220 -2.660550
 26900.000000 1.300147 -1.676846 -2.526689
 27000.000000 1.359079 -1.678341 -2.489651
 27100.000000 1.261509 -1.552847 -2.424261
 27200.000000 1.343002 -1.592991 -2.529548
 27300.000000 1.306279 -1.685374 -2.473993
 27400.000000 1.314592 -1.590100 -2.672651
 27500.000000 1.344896 -1.713755 -2.509360
 27600.000000 1.273568 -1.700853 -2.716473
 27700.000000 1.201958 -1.637827 -2.758087
 27800.000000 1.220756 -1.629811 -2.742828
 27900.000000 1.223621 -1.690666 -2.538505
 28000.000000 1.169391 -1.692878 -2.670586
 28100.000000 1.367623 -1.609378 -2.809296
 28200.000000 1.215989 -1.627293 -2.646324
 28300.000000 1.352177 -1.587760 -2.688721
 28400.000000 1.180923 -1.721518 -2.829737
 28500.000000 1.227975 -1.673277 -2.700786
 28600.000000 1.261283 -1.662764 -2.506925
 28700.000000 1.321321 -1.611236 -2.650556
 28800.000000 1.299252 -1.506410 -2.531039
 28900.000000 1.245517 -1.750915 -2.734282
 29000.000000 1.337882 -1.595866 -2.820615
 29100.000000 1.250457 -1.665569 -2.721963
 29200.000000 1.231827 -1.614864 -2.636700
 29300.000000 1.368347 -1.456395 -2.698931
 29400.000000 1.322560 -1.606526 -2.652858
 29500.000000 1.332020 -1.488237 -2.530102
 29600.000000 1.336498 -1.637088 -2.566262
 29700.000000 1.333963 -1.562579 -2.677217
 29800.000000 1.343844 -1.537313 -2.638535
 29900.000000 1.314429 -1.659805 -2.694455
 30000.000000 1.332508 -1.527857 -2.700307
 30100.000000 1.310693 -1.617872 -2.727345
 30200.000000 1.324228 -1.679654 -2.788230
 30300.000000 1.273295 -1.730334 -2.735725
 30400.000000 1.338209 -1.510530 -2.744416
 30500.000000 1.278732 -1.684652 -2.778583
 30600.000000 1.300100 -1.600069 -2.581574
 30700.000000 1.241468 -1.582508 -2.642188
 30800.000000 1.288681 -1.527771 -2.671515
 30900.000000 1.273930 -1.459026 -2.657940
 31000.000000 1.199019 -1.648882 -2.785678
 31100.000000 1.276777 -1.619151 -2.642806
 31200.000000 1.164642 -1.741624 -2.716079
 31300.000000 1.255582 -1.468860 -2.604168
 31400.000000 1.190902 -1.523449 -2.705964
 31500.000000 1.192669 -1.570912 -2.664469
 31600.000000 1.292748 -1.633585 -2.640321
 31700.000000 1.323612 -1.503658 -2.662715
 31800.000000 1.345805 -1.490761 -2.559839
 31900.000000 1.261078 -1.573042 -2.696055
 32000.000000 1.332318 -1.403145 -2.424466
 32100.000000 1.251078 -1.586238 -2.500094
 32200.000000 1.285009 -1.527244 -2.566679
 32300.000000 1.161800 -1.545149 -2.714075
 32400.000000 1.226474 -1.585324 -2.646845
 32500.000000 1.129112 -1.602745 -2.654758
 32600.000000 1.329998 -1.437148 -2.544494
 32700.000000 1.394480 -1.311484 -2.529427
 32800.000000 1.271949 -1.400823 -2.617204
 32900.000000 1.297614 -1.520154 -2.595034
 33000.000000 1.239597 -1.590842 -2.610391
 33100.000000 1.152393 -1.617867 -2.671664
 33200.000000 1.278576 -1.466176 -2.521862
 33300.000000 1.239675 -1.542697 -2.521589
 33400.000000 1.292079 -1.567633 -2.553317
 33500.000000 1.247926 -1.538958 -2.639628
 33600.000000 1.187724 -1.719028 -2.684538
 33700.000000 1.242073 -1.399597 -2.581944
 33800.000000 1.262215 -1.493684 -2.555225
 33900.000000 1.228166 -1.611229 -2.725113
 34000.000000 1.226121 -1.625388 -2.772208
 34100.000000 1.297015 -1.507212 -2.587372
 34200.000000 1.249399 -1.600751 -2.530494
 34300.000000 1.209045 -1.552996 -2.458971
 34400.000000 1.155047 -1.668773 -2.579424
 34500.000000 1.186387 -1.541286 -2.616273
 34600.000000 1.156068 -1.387354 -2.500274
 34700.000000 1.313903 -1.457947 -2.514026
 34800.000000 1.282527 -1.607176 -2.687426
 34900.000000 1.189573 -1.667433 -2.547104
 35000.000000 1.221577 -1.475810 -2.565970
 35100.000000 1.273232 -1.400419 -2.613540
 35200.000000 1.403811 -1.376844 -2.616415
 35300.000000 1.362342 -1.316142 -2.489996
 35400.000000 1.266220 -1.388679 -2.475637
 35500.000000 1.248907 -1.487668 -2.609098
 35600.000000 1.298349 -1.403878 -2.517539
 35700.000000 1.336389 -1.390783 -2.492978
 35800.000000 1.244781 -1.490877 -2.444627
 35900.000000 1.284764 -1.444033 -2.420766
 36000.000000 1.216024 -1.606474 -2.789300
 36100.000000 1.313477 -1.528590 -2.606588
 36200.000000 1.388919 -1.384324 -2.483252
 36300.000000 1.239237 -1.480620 -2.444203
 36400.000000 1.254220 -1.457972 -2.607891
 36500.000000 1.376594 -1.261068 -2.409042
 36600.000000 1.352075 -1.509715 -2.700786
 36700.000000 1.254546 -1.546348 -2.703308
 36800.000000 1.204892 -1.534899 -2.698195
 36900.000000 1.167074 -1.600272 -2.781735
 37000.000000 1.209521 -1.556465 -2.886230
 37100.000000 1.208424 -1.550087 -2.710679
 37200.000000 1.173085 -1.583334 -2.692378
 37300.000000 1.227824 -1.614865 -2.633279
 37400.000000 1.280921 -1.577758 -2.513796
 37500.000000 1.400488 -1.267290 -2.433901
 37600.000000 1.178126 -1.515009 -2.784602
 37700.000000 1.282126 -1.385138 -2.394131
 37800.000000 1.251828 -1.534566 -2.487443
 37900.000000 1.154528 -1.620780 -2.808560
 38000.000000 1.223204 -1.680847 -2.914738
 38100.000000 1.228859 -1.626907 -2.830899
 38200.000000 1.172203 -1.464030 -2.683688
 38300.000000 1.250070 -1.690618 -2.910575
 38400.000000 1.089497 -1.774559 -2.995349
 38500.000000 1.146874 -1.827351 -2.832452
 38600.000000 1.264863 -1.541385 -2.919728
 38700.000000 1.191154 -1.613548 -2.908097
 38800.000000 1.387154 -1.537369 3.027823
 38900.000000 1.149840 -1.709430 -3.027216
 39000.000000 1.184614 -1.662756 -2.925959
 39100.000000 1.263709 -1.633610 -2.938851
 39200.000000 1.168063 -1.810523 -3.077452
 39300.000000 1.094247 -1.800214 -2.915421
 39400.000000 1.204275 -1.698914 -2.956553
 39500.000000 1.156999 -1.832096 -3.087864
 39600.000000 1.312261 -1.654582 -2.848945
 39700.000000 1.193799 -1.719712 -2.987497
 39800.000000 1.177207 -1.771061 -2.977809
 39900.000000 1.218040 -1.582402 -2.874615
 40000.000000 1.150314 -1.722147 -3.051193
 40100.000000 1.274389 -1.567203 -2.793630
 40200.000000 1.334419 -1.426299 -2.870912
 40300.000000 1.214230 -1.643431 3.014837
 40400.000000 1.199916 -1.679675 -2.922069
 40500.000000 1.286451 -1.536861 -2.877792
 40600.000000 1.319018 -1.592485 -2.598701
 40700.000000 1.241574 -1.774785 -2.867789
 40800.000000 1.152118 -1.633236 -2.689515
 40900.000000 1.314591 -1.575805 -2.673172
 41000.000000 1.271767 -1.547803 -2.684135
 41100.000000 1.224917 -1.601885 -2.883914
 41200.000000 1.196470 -1.720572 -2.952952
 41300.000000 1.146873 -1.655267 -2.880718
 41400.000000 1.143812 -1.655398 -2.932110
 41500.000000 1.219940 -1.702127 -2.885751
 41600.000000 1.190688 -1.618505 -2.820060
 41700.000000 1.331097 -1.407546 -2.715005
 41800.000000 1.269512 -1.562614 -2.693030
 41900.000000 1.403228 -1.527461 -2.799538
 42000.000000 1.336670 -1.636179 -2.905036
 42100.000000 1.263529 -1.489103 -2.795220
 42200.000000 1.301841 -1.455385 -2.654677
 42300.000000 1.312491 -1.413385 -2.634623
 42400.000000 1.203806 -1.608850 -2.804644
 42500.000000 1.165522 -1.492358 -2.768914
 42600.000000 1.320446 -1.498168 -2.639796
 42700.000000 1.285310 -1.560959 -2.733487
 42800.000000 1.343547 -1.425770 -2.613911
 42900.000000 1.363454 -1.423324 -2.747621
 43000.000000 1.270830 -1.461649 -2.550562
 43100.000000 1.299247 -1.509402 -2.510898
 43200.000000 1.315757 -1.448480 -2.573557
 43300.000000 1.219560 -1.508486 -2.701306
 43400.000000 1.221020 -1.612181 -2.654716
 43500.000000 1.226212 -1.544543 -2.521044
 43600.000000 1.219756 -1.408546 -2.543775
 43700.000000 1.309957 -1.607756 -2.517613
 43800.000000 1.306582 -1.454569 -2.572635
 43900.000000 1.212928 -1.528785 -2.665866
 44000.000000 1.200581 -1.591426 -2.622941
 44100.000000 1.245917 -1.475746 -2.736144
 44200.000000 1.308186 -1.470835 -2.743794
 44300.000000 1.369342 -1.458299 -2.804988
 44400.000000 1.217532 -1.397544 -2.523273
 44500.000000 1.165210 -1.542145 -2.691395
 44600.000000 1.206483 -1.557152 -2.591250
 44700.000000 1.192390 -1.633726 -2.558881
 44800.000000 1.225048 -1.690151 -2.446063
 44900.000000 1.237855 -1.721581 -2.643279
 45000.000000 1.246385 -1.634081 -2.800299
 45100.000000 1.289694 -1.424814 -2.784408
 45200.000000 1.311961 -1.527298 -2.613115
 45300.000000 1.218857 -1.415288 -2.591787
 45400.000000 1.206509 -1.512538 -2.571373
 45500.000000 1.269955 -1.554007 -2.751581
 45600.000000 1.213817 -1.516185 -2.638832
 45700.000000 1.242844 -1.541777 -2.741214
 45800.000000 1.214990 -1.549764 -2.674006
 45900.000000 1.212548 -1.389683 -2.589371
 46000.000000 1.247974 -1.471556 -2.639136
 46100.000000 1.250694 -1.368247 -2.526663
 46200.000000 1.275348 -1.611046 -2.660507
 46300.000000 1.215658 -1.645484 -2.737401
 46400.000000 1.297150 -1.510543 -2.575477
 46500.000000 1.207689 -1.565044 -2.752954
 46600.000000 1.325319 -1.417746 -2.608736
 46700.000000 1.349081 -1.448013 -2.645200
 46800.000000 1.208689 -1.612103 -2.827906
 46900.000000 1.324975 -1.364692 -2.559020
 47000.000000 1.316215 -1.386251 -2.550996
